ID;Nazwa;Opis;Pozycja;Wyświetlane;Kategoria nadrzędna
101;Air;;1;1;14
102;Alaska;;2;1;14
103;Alpaca;;3;1;14
104;Andes;;4;1;14
105;Baby;;5;1;14
106;Belle;;6;1;14
107;Big;;7;1;14
108;Bomull-Lin;;8;1;14
109;Brushed;;9;1;14
110;Cotton;;10;1;14
111;Daisy;;11;1;14
112;Fabel;;12;1;14
113;Flora;;13;1;14
114;Karisma;;14;1;14
115;Kid-Silk;;15;1;14
116;Lima;;16;1;14
117;Melody;;17;1;14
118;Merino;;18;1;14
119;Muskat;;19;1;14
120;Nepal;;20;1;14
121;Nord;;21;1;14
122;Paris;;22;1;14
123;Polaris;;23;1;14
124;Puna;;24;1;14
125;Safran;;25;1;14
126;Sky;;26;1;14
127;Snow;;27;1;14
128;Soft;;28;1;14
129;Loves;;29;1;14
130;Natura;;30;1;15
131;Baby;;31;1;16
132;Happy;;32;1;16
133;Unicorn;;33;1;16
134;Dolphin;;34;1;17
135;Everyday;;35;1;17
136;Himagurumi;;36;1;17
137;Baby;;37;1;18
138;Merino-Linen;;38;1;18
139;Alabama;;39;1;19
140;Fair;;40;1;19
141;Love;;41;1;19
142;Bella;;42;1;20
143;Luna;;43;1;20
144;Terra;;44;1;20
145;Viva;;45;1;20
