ID;Name;Price;Image;URL;Quantity
44070;Włóczka DROPS Air 01 - ecru;20.90 zł;https://wloczykijki.pl/environment/cache/images/500_500_productGfx_2997/01-2.webp;https://wloczykijki.pl/pl/p/Wloczka-DROPS-Air-01-ecru/116;50
44068;Włóczka DROPS Air mix 02 - pszeniczny;20.90 zł;https://wloczykijki.pl/environment/cache/images/500_500_productGfx_2998/02-2.webp;https://wloczykijki.pl/pl/p/Wloczka-DROPS-Air-mix-02-pszeniczny/117;50
52437;Włóczka DROPS Air mix 40 - lemoniada;20.90 zł;https://wloczykijki.pl/environment/cache/images/500_500_productGfx_4020/40.webp;https://wloczykijki.pl/pl/p/Wloczka-DROPS-Air-mix-40-lemoniada-/2406;50
46138;Włóczka DROPS Air 22 - żółty;20.90 zł;https://wloczykijki.pl/environment/cache/images/500_500_productGfx_3018/22-2.webp;https://wloczykijki.pl/pl/p/Wloczka-DROPS-Air-22-zolty/1233;50
96674;Włóczka DROPS Air mix 13 - pomarańczowy;20.90 zł;https://wloczykijki.pl/environment/cache/images/500_500_productGfx_3009/13-2.webp;https://wloczykijki.pl/pl/p/Wloczka-DROPS-Air-mix-13-pomaranczowy/1221;50
12804;Włóczka DROPS Air mix 38 - elektryzujący pomarańcz;20.90 zł;https://wloczykijki.pl/environment/cache/images/500_500_productGfx_4018/38.webp;https://wloczykijki.pl/pl/p/Wloczka-DROPS-Air-mix-38-elektryzujacy-pomarancz-/2404;50
87904;Włóczka DROPS Air 54 - słodka morela;20.90 zł;https://wloczykijki.pl/environment/cache/images/500_500_productGfx_4702/54-2.webp;https://wloczykijki.pl/pl/p/Wloczka-DROPS-Air-54-slodka-morela/2749;50
99060;Włóczka DROPS Air 50 - brzoskwiniowy róż;20.90 zł;https://wloczykijki.pl/environment/cache/images/500_500_productGfx_4410/50-2.webp;https://wloczykijki.pl/pl/p/Wloczka-DROPS-Air-50-brzoskwiniowy-roz/2588;50
69560;Włóczka DROPS Air mix 07 - rubinowy;20.90 zł;https://wloczykijki.pl/environment/cache/images/500_500_productGfx_3003/07-2.webp;https://wloczykijki.pl/pl/p/Wloczka-DROPS-Air-mix-07-rubinowy/1122;50
95782;Włóczka DROPS Air 35 - glina;20.90 zł;https://wloczykijki.pl/environment/cache/images/500_500_productGfx_2866/35.webp;https://wloczykijki.pl/pl/p/Wloczka-DROPS-Air-35-glina/1866;50
42821;Włóczka DROPS Air 44 - karminowy;20.90 zł;https://wloczykijki.pl/environment/cache/images/500_500_productGfx_4297/44-2.webp;https://wloczykijki.pl/pl/p/Wloczka-DROPS-Air-44-karminowy/2526;50
96438;Włóczka DROPS Air mix 39 - magenta;20.90 zł;https://wloczykijki.pl/environment/cache/images/500_500_productGfx_4019/39.webp;https://wloczykijki.pl/pl/p/Wloczka-DROPS-Air-mix-39-magenta/2405;50
24955;Włóczka DROPS Air 24 - średni róż;20.90 zł;https://wloczykijki.pl/environment/cache/images/500_500_productGfx_4921/24-2.webp;https://wloczykijki.pl/pl/p/Wloczka-DROPS-Air-24-sredni-roz/1271;50
52175;Włóczka DROPS Air 53 - lody truskawkowe;20.90 zł;https://wloczykijki.pl/environment/cache/images/500_500_productGfx_4449/53-2.webp;https://wloczykijki.pl/pl/p/Wloczka-DROPS-Air-53-lody-truskawkowe/2604;50
45857;Włóczka DROPS Air mix 08 - jasny róż;20.90 zł;https://wloczykijki.pl/environment/cache/images/500_500_productGfx_3004/08-2.webp;https://wloczykijki.pl/pl/p/Wloczka-DROPS-Air-mix-08-jasny-roz/119;50
64402;Włóczka DROPS Alaska 69 - perłowa biel;8.50 zł;https://wloczykijki.pl/environment/cache/images/500_500_productGfx_4987/69-2.webp;https://wloczykijki.pl/pl/p/Wloczka-DROPS-Alaska-69-perlowa-biel/2012;50
72974;Włóczka DROPS Alaska 02 - ecru;8.50 zł;https://wloczykijki.pl/environment/cache/images/500_500_productGfx_4928/02-2.webp;https://wloczykijki.pl/pl/p/Wloczka-DROPS-Alaska-02-ecru/168;50
19779;Włóczka DROPS Alaska 61 - pszeniczny;8.50 zł;https://wloczykijki.pl/environment/cache/images/500_500_productGfx_4970/61-2.webp;https://wloczykijki.pl/pl/p/Wloczka-DROPS-Alaska-61-pszeniczny/1186;50
39010;Włóczka DROPS Alaska mix 73 - piaskowy;8.50 zł;https://wloczykijki.pl/environment/cache/images/500_500_productGfx_5223/73-2.webp;https://wloczykijki.pl/pl/p/Wloczka-DROPS-Alaska-mix-73-piaskowy/2891;50
48226;Włóczka DROPS Alaska 58 - musztarda;8.50 zł;https://wloczykijki.pl/environment/cache/images/500_500_productGfx_4966/58-2.webp;https://wloczykijki.pl/pl/p/Wloczka-DROPS-Alaska-58-musztarda/867;50
29237;Włóczka DROPS Alaska 10 - czerwony;8.50 zł;https://wloczykijki.pl/environment/cache/images/500_500_productGfx_4945/10-2.webp;https://wloczykijki.pl/pl/p/Wloczka-DROPS-Alaska-10-czerwony/968;50
44664;Włóczka DROPS Alaska 11 - ciemnoczerwony;8.50 zł;https://wloczykijki.pl/environment/cache/images/500_500_productGfx_4947/11-2.webp;https://wloczykijki.pl/pl/p/Wloczka-DROPS-Alaska-11-ciemnoczerwony-/129;50
